"2021-04-06 11:18:57 INFO  s.t.R.RestApiProjectApplication - Starting RestApiProjectApplication using Java 11.0.10 on DESKTOP-F4UDU2U with PID 9820 (C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project\target\classes started by Stefan in C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project)
""2021-04-06 11:18:57 INFO  s.t.R.RestApiProjectApplication - No active profile set, falling back to default profiles: default
""2021-04-06 11:18:57 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2021-04-06 11:18:58 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 62 ms. Found 4 JPA repository interfaces.
""2021-04-06 11:18:58 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2021-04-06 11:18:58 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-04-06 11:18:58 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.43]
""2021-04-06 11:18:59 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-04-06 11:18:59 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1845 ms
""2021-04-06 11:18:59 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2021-04-06 11:18:59 INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.0.Final}
""2021-04-06 11:18:59 INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2021-04-06 11:18:59 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
""2021-04-06 11:18:59 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
""2021-04-06 11:18:59 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
""2021-04-06 11:18:59 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
""2021-04-06 11:19:00 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
""2021-04-06 11:19:00 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
""2021-04-06 11:19:00 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
""2021-04-06 11:19:01 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@32153bbe, org.springframework.security.web.context.SecurityContextPersistenceFilter@24ce5d4c, org.springframework.security.web.header.HeaderWriterFilter@6b468710, org.springframework.security.web.authentication.logout.LogoutFilter@4fc84c92, stefan.toth.RestAPIProject.config.security.JwtFilter@8b1bfdf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7369208e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1239c268, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4806fbf7, org.springframework.security.web.session.SessionManagementFilter@52a0bc48, org.springframework.security.web.access.ExceptionTranslationFilter@99af41d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6500e886]
""2021-04-06 11:19:01 INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
""2021-04-06 11:19:01 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
""2021-04-06 11:19:01 INFO  s.t.R.RestApiProjectApplication - Started RestApiProjectApplication in 5.129 seconds (JVM running for 5.555)
""2021-04-06 11:19:03 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
