"2021-03-10 12:32:03 INFO  s.t.R.RestApiProjectApplication - Starting RestApiProjectApplication using Java 11.0.10 on DESKTOP-F4UDU2U with PID 8752 (C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project\target\classes started by Stefan in C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project)
""2021-03-10 12:32:03 INFO  s.t.R.RestApiProjectApplication - No active profile set, falling back to default profiles: default
""2021-03-10 12:32:28 INFO  s.t.R.RestApiProjectApplication - Starting RestApiProjectApplication using Java 11.0.10 on DESKTOP-F4UDU2U with PID 9856 (C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project\target\classes started by Stefan in C:\Users\Stefan\Desktop\Project\Rest-API-Project\Rest-API-Project)
""2021-03-10 12:32:28 INFO  s.t.R.RestApiProjectApplication - No active profile set, falling back to default profiles: default
""2021-03-10 12:32:29 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
""2021-03-10 12:32:29 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 55 ms. Found 3 JPA repository interfaces.
""2021-03-10 12:32:30 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
""2021-03-10 12:32:30 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2021-03-10 12:32:30 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.43]
""2021-03-10 12:32:30 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2021-03-10 12:32:30 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1631 ms
""2021-03-10 12:32:30 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
""2021-03-10 12:32:30 INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.4.0.Final}
""2021-03-10 12:32:30 INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
""2021-03-10 12:32:30 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
""2021-03-10 12:32:30 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
